A260,Cutaneous erysipeloid,Cutaneous erysipeloid,Erysipeloid
A267,Erysipelothrix sepsis,Erysipelothrix sepsis,Erysipeloid
A268,Other forms of erysipeloid,Other forms of erysipeloid,Erysipeloid
A269,"Erysipeloid, unspecified","Erysipeloid, unspecified",Erysipeloid
A270,Leptospirosis icterohemorrhagica,Leptospirosis icterohemorrhagica,Leptospirosis
A2781,Aseptic meningitis in leptospirosis,Aseptic meningitis in leptospirosis,Other forms of leptospirosis
A2789,Other forms of leptospirosis,Other forms of leptospirosis,Other forms of leptospirosis
A279,"Leptospirosis, unspecified","Leptospirosis, unspecified","Leptospirosis, unspecified"
A280,Pasteurellosis,Pasteurellosis,"Other zoonotic bacterial diseases, not elsewhere classified"
A281,Cat-scratch disease,Cat-scratch disease,"Other zoonotic bacterial diseases, not elsewhere classified"
A282,Extraintestinal yersiniosis,Extraintestinal yersiniosis,"Other zoonotic bacterial diseases, not elsewhere classified"
A288,"Oth zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified"
A289,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified","Other zoonotic bacterial diseases, not elsewhere classified"
A300,Indeterminate leprosy,Indeterminate leprosy,Leprosy [Hansen's disease]
A301,Tuberculoid leprosy,Tuberculoid leprosy,Leprosy [Hansen's disease]
A302,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy,Leprosy [Hansen's disease]
A303,Borderline leprosy,Borderline leprosy,Leprosy [Hansen's disease]
A304,Borderline lepromatous leprosy,Borderline lepromatous leprosy,Leprosy [Hansen's disease]
A305,Lepromatous leprosy,Lepromatous leprosy,Leprosy [Hansen's disease]
A308,Other forms of leprosy,Other forms of leprosy,Leprosy [Hansen's disease]
A309,"Leprosy, unspecified","Leprosy, unspecified",Leprosy [Hansen's disease]
A310,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,Infection due to other mycobacteria
A311,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection,Infection due to other mycobacteria
A312,Dissem mycobacterium avium-intracellulare complex (DMAC),Disseminated mycobacterium avium-intracellulare complex (DMAC),Infection due to other mycobacteria
A318,Other mycobacterial infections,Other mycobacterial infections,Infection due to other mycobacteria
A319,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified",Infection due to other mycobacteria
A320,Cutaneous listeriosis,Cutaneous listeriosis,Listeriosis
A3211,Listerial meningitis,Listerial meningitis,Listerial meningitis and meningoencephalitis
A3212,Listerial meningoencephalitis,Listerial meningoencephalitis,Listerial meningitis and meningoencephalitis
A327,Listerial sepsis,Listerial sepsis,Listerial sepsis
A3281,Oculoglandular listeriosis,Oculoglandular listeriosis,Other forms of listeriosis
A3282,Listerial endocarditis,Listerial endocarditis,Other forms of listeriosis
A3289,Other forms of listeriosis,Other forms of listeriosis,Other forms of listeriosis
A329,"Listeriosis, unspecified","Listeriosis, unspecified","Listeriosis, unspecified"
A33,Tetanus neonatorum,Tetanus neonatorum,Tetanus neonatorum
A34,Obstetrical tetanus,Obstetrical tetanus,Obstetrical tetanus
A35,Other tetanus,Other tetanus,Other tetanus
A360,Pharyngeal diphtheria,Pharyngeal diphtheria,Diphtheria
A361,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria,Diphtheria
A362,Laryngeal diphtheria,Laryngeal diphtheria,Diphtheria
A363,Cutaneous diphtheria,Cutaneous diphtheria,Diphtheria
A3681,Diphtheritic cardiomyopathy,Diphtheritic cardiomyopathy,Other diphtheria
A3682,Diphtheritic radiculomyelitis,Diphtheritic radiculomyelitis,Other diphtheria
A3683,Diphtheritic polyneuritis,Diphtheritic polyneuritis,Other diphtheria
A3684,Diphtheritic tubulo-interstitial nephropathy,Diphtheritic tubulo-interstitial nephropathy,Other diphtheria
A3685,Diphtheritic cystitis,Diphtheritic cystitis,Other diphtheria
A3686,Diphtheritic conjunctivitis,Diphtheritic conjunctivitis,Other diphtheria
A3689,Other diphtheritic complications,Other diphtheritic complications,Other diphtheria
A369,"Diphtheria, unspecified","Diphtheria, unspecified","Diphtheria, unspecified"
A3700,Whooping cough due to Bordetella pertussis without pneumonia,Whooping cough due to Bordetella pertussis without pneumonia,Whooping cough due to Bordetella pertussis
A3701,Whooping cough due to Bordetella pertussis with pneumonia,Whooping cough due to Bordetella pertussis with pneumonia,Whooping cough due to Bordetella pertussis
A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia,Whooping cough due to Bordetella parapertussis without pneumonia,Whooping cough due to Bordetella parapertussis
A3711,Whooping cough due to Bordetella parapertussis w pneumonia,Whooping cough due to Bordetella parapertussis with pneumonia,Whooping cough due to Bordetella parapertussis
A3780,Whooping cough due to other Bordetella species w/o pneumonia,Whooping cough due to other Bordetella species without pneumonia,Whooping cough due to other Bordetella species
A3781,Whooping cough due to oth Bordetella species with pneumonia,Whooping cough due to other Bordetella species with pneumonia,Whooping cough due to other Bordetella species
